,activation,adaptive_rate,autoencoder,average_activation,balance_classes,categorical_encoding,checkpoint,class_sampling_factors,classification_stop,col_major,diagnostics,distribution,elastic_averaging,elastic_averaging_moving_rate,elastic_averaging_regularization,epochs,epsilon,export_checkpoints_dir,export_weights_and_biases,fast_mode,fold_assignment,fold_column,force_load_balance,hidden,hidden_dropout_ratios,huber_alpha,ignore_const_cols,ignored_columns,initial_biases,initial_weight_distribution,initial_weight_scale,initial_weights,input_dropout_ratio,keep_cross_validation_fold_assignment,keep_cross_validation_models,keep_cross_validation_predictions,l1,l2,loss,max_after_balance_size,max_categorical_features,max_confusion_matrix_size,max_hit_ratio_k,max_runtime_secs,max_w2,mini_batch_size,missing_values_handling,model_id,momentum_ramp,momentum_stable,momentum_start,nesterov_accelerated_gradient,nfolds,offset_column,overwrite_with_best_model,pretrained_autoencoder,quantile_alpha,quiet_mode,rate,rate_annealing,rate_decay,regression_stop,replicate_training_data,reproducible,response_column,rho,score_duty_cycle,score_each_iteration,score_interval,score_training_samples,score_validation_samples,score_validation_sampling,seed,shuffle_training_data,single_node_mode,sparse,sparsity_beta,standardize,stopping_metric,stopping_rounds,stopping_tolerance,target_ratio_comm_to_comp,train_samples_per_iteration,training_frame,tweedie_power,use_all_factor_levels,validation_frame,variable_importances,weights_column
actual,RectifierWithDropout,TRUE,FALSE,0,FALSE,AUTO,,,0,FALSE,TRUE,AUTO,FALSE,0.9,0.001,0.306252805,1.00E-07,,FALSE,TRUE,Modulo,,TRUE,"[500, 500, 500]","[0.1, 0.1, 0.1]",0.9,TRUE,"['hours-per-week', 'gender', 'capital-loss']",,UniformAdaptive,1,,0.2,FALSE,FALSE,TRUE,0,0,Automatic,5,2147483647,20,0,0,3.40E+38,1,MeanImputation,DeepLearning_grid_1_AutoML_20190420_162320_model_8,1000000,0,0,TRUE,5,,FALSE,,0.5,FALSE,0.005,1.00E-06,1,1.00E-06,TRUE,FALSE,income,0.95,0.1,FALSE,5,10000,0,Uniform,-3.12E+18,FALSE,FALSE,FALSE,0,TRUE,logloss,0,0.004524841,0.05,-2,automl_training_adult3.hex,1.5,TRUE,,TRUE,
default,Rectifier,TRUE,FALSE,0,FALSE,AUTO,,,0,FALSE,TRUE,AUTO,FALSE,0.9,0.001,10,1.00E-08,,FALSE,TRUE,AUTO,,TRUE,"[200, 200]",,0.9,TRUE,,,UniformAdaptive,1,,0,FALSE,TRUE,FALSE,0,0,Automatic,5,2147483647,20,0,0,3.40E+38,1,MeanImputation,DeepLearning_grid_1_AutoML_20190420_162320_model_8,1000000,0,0,TRUE,0,,TRUE,,0.5,FALSE,0.005,1.00E-06,1,1.00E-06,TRUE,FALSE,income,0.99,0.1,FALSE,5,10000,0,Uniform,-1,FALSE,FALSE,FALSE,0,TRUE,AUTO,5,0,0.05,-2,automl_training_adult3.hex,1.5,TRUE,,TRUE,
actual,RectifierWithDropout,TRUE,FALSE,0,FALSE,AUTO,,,0,FALSE,TRUE,AUTO,FALSE,0.9,0.001,0.313357345,1.00E-08,,FALSE,TRUE,Modulo,,TRUE,"[500, 500, 500]","[0.2, 0.2, 0.2]",0.9,TRUE,"['education', 'hours-per-week', 'capital-loss']",,UniformAdaptive,1,,0.15,FALSE,FALSE,TRUE,0,0,Automatic,5,2147483647,20,0,0,3.40E+38,1,MeanImputation,DeepLearning_grid_1_AutoML_20190420_151756_model_13,1000000,0,0,TRUE,5,,FALSE,,0.5,FALSE,0.005,1.00E-06,1,1.00E-06,TRUE,FALSE,income,0.95,0.1,FALSE,5,10000,0,Uniform,5.74E+18,FALSE,FALSE,FALSE,0,TRUE,logloss,0,0.004524841,0.05,-2,automl_training_adult2.hex,1.5,TRUE,,TRUE,
default,Rectifier,TRUE,FALSE,0,FALSE,AUTO,,,0,FALSE,TRUE,AUTO,FALSE,0.9,0.001,10,1.00E-08,,FALSE,TRUE,AUTO,,TRUE,"[200, 200]",,0.9,TRUE,,,UniformAdaptive,1,,0,FALSE,TRUE,FALSE,0,0,Automatic,5,2147483647,20,0,0,3.40E+38,1,MeanImputation,DeepLearning_grid_1_AutoML_20190420_151756_model_13,1000000,0,0,TRUE,0,,TRUE,,0.5,FALSE,0.005,1.00E-06,1,1.00E-06,TRUE,FALSE,income,0.99,0.1,FALSE,5,10000,0,Uniform,-1,FALSE,FALSE,FALSE,0,TRUE,AUTO,5,0,0.05,-2,automl_training_adult2.hex,1.5,TRUE,,TRUE,
actual,Rectifier,TRUE,FALSE,0,FALSE,AUTO,,,0,FALSE,TRUE,AUTO,FALSE,0.9,0.001,10.40034706,1.00E-08,,FALSE,TRUE,Modulo,,TRUE,"[10, 10, 10]",,0.9,TRUE,"['education', 'hours-per-week', 'capital-loss']",,UniformAdaptive,1,,0,FALSE,FALSE,TRUE,0,0,Automatic,5,2147483647,20,0,0,3.40E+38,1,MeanImputation,DeepLearning_1_AutoML_20190420_135144,1000000,0,0,TRUE,5,,FALSE,,0.5,FALSE,0.005,1.00E-06,1,1.00E-06,TRUE,FALSE,income,0.99,0.1,FALSE,5,10000,0,Uniform,7.55E+18,FALSE,FALSE,FALSE,0,TRUE,logloss,0,0.004524841,0.05,-2,automl_training_adult1.hex,1.5,TRUE,,TRUE,
default,Rectifier,TRUE,FALSE,0,FALSE,AUTO,,,0,FALSE,TRUE,AUTO,FALSE,0.9,0.001,10,1.00E-08,,FALSE,TRUE,AUTO,,TRUE,"[200, 200]",,0.9,TRUE,,,UniformAdaptive,1,,0,FALSE,TRUE,FALSE,0,0,Automatic,5,2147483647,20,0,0,3.40E+38,1,MeanImputation,DeepLearning_1_AutoML_20190420_135144,1000000,0,0,TRUE,0,,TRUE,,0.5,FALSE,0.005,1.00E-06,1,1.00E-06,TRUE,FALSE,income,0.99,0.1,FALSE,5,10000,0,Uniform,-1,FALSE,FALSE,FALSE,0,TRUE,AUTO,5,0,0.05,-2,automl_training_adult1.hex,1.5,TRUE,,TRUE,
