,alpha,balance_classes,beta_constraints,beta_epsilon,class_sampling_factors,compute_p_values,custom_metric_func,early_stopping,export_checkpoints_dir,family,fold_assignment,fold_column,gradient_epsilon,ignore_const_cols,ignored_columns,interaction_pairs,interactions,intercept,keep_cross_validation_fold_assignment,keep_cross_validation_models,keep_cross_validation_predictions,lambda,lambda_min_ratio,lambda_search,link,max_active_predictors,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k,max_iterations,max_runtime_secs,missing_values_handling,model_id,nfolds,nlambdas,non_negative,obj_reg,objective_epsilon,offset_column,prior,remove_collinear_columns,response_column,score_each_iteration,seed,solver,standardize,theta,training_frame,tweedie_link_power,tweedie_variance_power,validation_frame,weights_column
actual,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]",False,,0.0001,,False,,True,,binomial,Modulo,,1.0000000000000002e-06,True,"['hours-per-week', 'gender', 'capital-loss']",,,True,False,False,True,"[14.190629444115807, 8.812621300901148, 5.472787130334066, 3.398693527303556, 2.110646260752699, 1.3107470862675006, 0.813996147107118, 0.5055053979879761, 0.3139274163681697, 0.19495424408887968, 0.1210698884728571, 0.07518645189456613, 0.04669206042724046, 0.028996560577140867, 0.018007355374989435, 0.011182872766530513, 0.006944753447033205, 0.004312809547867441, 0.0026783277963773667, 0.0016632869374894371, 0.0010329293674078712, 0.0006414666369376214, 0.00039836164919646624, 0.0002473893331508685, 0.00015363296712994504, 9.540867542076526e-05, 5.9250403839728236e-05, 3.679550459838807e-05, 2.2850631741047847e-05, 1.4190629444115783e-05]",1.0000000000000002e-06,True,logit,5000,5.0,20,0,300,0.0,MeanImputation,GLM_grid_1_AutoML_20190420_162320_model_1,5,30,False,2.0474182056426847e-05,0.0001,,-1.0,False,income,False,5225453679239142921,COORDINATE_DESCENT,True,1e-10,automl_training_adult3.hex,1.0,0.0,,
default,,False,,0.0001,,False,,True,,gaussian,AUTO,,-1.0,True,,,,True,False,True,False,,-1.0,False,family_default,-1,5.0,20,0,-1,0.0,MeanImputation,GLM_grid_1_AutoML_20190420_162320_model_1,0,-1,False,-1.0,-1.0,,-1.0,False,income,False,-1,AUTO,True,1e-10,automl_training_adult3.hex,1.0,0.0,,
actual,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]",False,,0.0001,,False,,True,,binomial,Modulo,,1.0000000000000002e-06,True,"['education', 'hours-per-week', 'capital-loss']",,,True,False,False,True,"[14.190629444115807, 8.812621300901148, 5.472787130334066, 3.398693527303556, 2.110646260752699, 1.3107470862675006, 0.813996147107118, 0.5055053979879761, 0.3139274163681697, 0.19495424408887968, 0.1210698884728571, 0.07518645189456613, 0.04669206042724046, 0.028996560577140867, 0.018007355374989435, 0.011182872766530513, 0.006944753447033205, 0.004312809547867441, 0.0026783277963773667, 0.0016632869374894371, 0.0010329293674078712, 0.0006414666369376214, 0.00039836164919646624, 0.0002473893331508685, 0.00015363296712994504, 9.540867542076526e-05, 5.9250403839728236e-05, 3.679550459838807e-05, 2.2850631741047847e-05, 1.4190629444115783e-05]",1.0000000000000002e-06,True,logit,5000,5.0,20,0,300,0.0,MeanImputation,GLM_grid_1_AutoML_20190420_151756_model_1,5,30,False,2.0474182056426847e-05,0.0001,,-1.0,False,income,False,7025913962425331448,COORDINATE_DESCENT,True,1e-10,automl_training_adult2.hex,1.0,0.0,,
default,,False,,0.0001,,False,,True,,gaussian,AUTO,,-1.0,True,,,,True,False,True,False,,-1.0,False,family_default,-1,5.0,20,0,-1,0.0,MeanImputation,GLM_grid_1_AutoML_20190420_151756_model_1,0,-1,False,-1.0,-1.0,,-1.0,False,income,False,-1,AUTO,True,1e-10,automl_training_adult2.hex,1.0,0.0,,
actual,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]",False,,0.0001,,False,,True,,binomial,Modulo,,1.0000000000000002e-06,True,"['education', 'hours-per-week', 'capital-loss']",,,True,False,False,True,"[14.190629444115807, 8.812621300901148, 5.472787130334066, 3.398693527303556, 2.110646260752699, 1.3107470862675006, 0.813996147107118, 0.5055053979879761, 0.3139274163681697, 0.19495424408887968, 0.1210698884728571, 0.07518645189456613, 0.04669206042724046, 0.028996560577140867, 0.018007355374989435, 0.011182872766530513, 0.006944753447033205, 0.004312809547867441, 0.0026783277963773667, 0.0016632869374894371, 0.0010329293674078712, 0.0006414666369376214, 0.00039836164919646624, 0.0002473893331508685, 0.00015363296712994504, 9.540867542076526e-05, 5.9250403839728236e-05, 3.679550459838807e-05, 2.2850631741047847e-05, 1.4190629444115783e-05]",1.0000000000000002e-06,True,logit,5000,5.0,20,0,300,0.0,MeanImputation,GLM_grid_1_AutoML_20190420_135144_model_1,5,30,False,2.0474182056426847e-05,0.0001,,-1.0,False,income,False,-4125445981862322467,COORDINATE_DESCENT,True,1e-10,automl_training_adult1.hex,1.0,0.0,,
default,,False,,0.0001,,False,,True,,gaussian,AUTO,,-1.0,True,,,,True,False,True,False,,-1.0,False,family_default,-1,5.0,20,0,-1,0.0,MeanImputation,GLM_grid_1_AutoML_20190420_135144_model_1,0,-1,False,-1.0,-1.0,,-1.0,False,income,False,-1,AUTO,True,1e-10,automl_training_adult1.hex,1.0,0.0,,
