,balance_classes,build_tree_one_node,calibrate_model,calibration_frame,categorical_encoding,check_constant_response,checkpoint,class_sampling_factors,col_sample_rate,col_sample_rate_change_per_level,col_sample_rate_per_tree,custom_metric_func,distribution,export_checkpoints_dir,fold_assignment,fold_column,histogram_type,huber_alpha,ignore_const_cols,ignored_columns,keep_cross_validation_fold_assignment,keep_cross_validation_models,keep_cross_validation_predictions,learn_rate,learn_rate_annealing,max_abs_leafnode_pred,max_after_balance_size,max_confusion_matrix_size,max_depth,max_hit_ratio_k,max_runtime_secs,min_rows,min_split_improvement,model_id,monotone_constraints,nbins,nbins_cats,nbins_top_level,nfolds,ntrees,offset_column,pred_noise_bandwidth,quantile_alpha,r2_stopping,response_column,sample_rate,sample_rate_per_class,score_each_iteration,score_tree_interval,seed,stopping_metric,stopping_rounds,stopping_tolerance,training_frame,tweedie_power,validation_frame,weights_column
actual,False,False,False,,AUTO,True,,,0.8,1.0,0.8,,bernoulli,,Modulo,,AUTO,0.9,True,"['hours-per-week', 'gender', 'capital-loss']",False,False,True,0.1,1.0,1.7976931348623157e+308,5.0,20,15,0,0.0,100.0,1e-05,GBM_2_AutoML_20190420_162320,,20,1024,1024,5,64,,0.0,0.5,1.7976931348623157e+308,income,0.8,,False,5,1344887278173816842,logloss,0,0.004524840555912091,automl_training_adult3.hex,1.5,,
default,False,False,False,,AUTO,True,,,1.0,1.0,1.0,,AUTO,,AUTO,,AUTO,0.9,True,,False,True,False,0.1,1.0,1.7976931348623157e+308,5.0,20,5,0,0.0,10.0,1e-05,GBM_2_AutoML_20190420_162320,,20,1024,1024,0,50,,0.0,0.5,1.7976931348623157e+308,income,1.0,,False,0,-1,AUTO,0,0.001,automl_training_adult3.hex,1.5,,
actual,False,False,False,,AUTO,True,,,0.8,1.0,0.8,,bernoulli,,Modulo,,AUTO,0.9,True,"['education', 'hours-per-week', 'capital-loss']",False,False,True,0.1,1.0,1.7976931348623157e+308,5.0,20,15,0,0.0,100.0,1e-05,GBM_2_AutoML_20190420_151756,,20,1024,1024,5,63,,0.0,0.5,1.7976931348623157e+308,income,0.8,,False,5,1861110353328862978,logloss,0,0.004524840555912091,automl_training_adult2.hex,1.5,,
default,False,False,False,,AUTO,True,,,1.0,1.0,1.0,,AUTO,,AUTO,,AUTO,0.9,True,,False,True,False,0.1,1.0,1.7976931348623157e+308,5.0,20,5,0,0.0,10.0,1e-05,GBM_2_AutoML_20190420_151756,,20,1024,1024,0,50,,0.0,0.5,1.7976931348623157e+308,income,1.0,,False,0,-1,AUTO,0,0.001,automl_training_adult2.hex,1.5,,
actual,False,False,False,,AUTO,True,,,0.8,1.0,0.8,,bernoulli,,Modulo,,AUTO,0.9,True,"['education', 'hours-per-week', 'capital-loss']",False,False,True,0.1,1.0,1.7976931348623157e+308,5.0,20,15,0,0.0,100.0,1e-05,GBM_1_AutoML_20190420_135144,,20,1024,1024,5,65,,0.0,0.5,1.7976931348623157e+308,income,0.8,,False,5,7326776092369443733,logloss,0,0.004524840555912091,automl_training_adult1.hex,1.5,,
default,False,False,False,,AUTO,True,,,1.0,1.0,1.0,,AUTO,,AUTO,,AUTO,0.9,True,,False,True,False,0.1,1.0,1.7976931348623157e+308,5.0,20,5,0,0.0,10.0,1e-05,GBM_1_AutoML_20190420_135144,,20,1024,1024,0,50,,0.0,0.5,1.7976931348623157e+308,income,1.0,,False,0,-1,AUTO,0,0.001,automl_training_adult1.hex,1.5,,
